,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
276,Nova Olinda Do Norte,BR,76.74800000000002,heavy intensity rain,-3.8881,-59.0942,Casa Juazeiro
278,Bouna,CI,86.0,broken clouds,9.2667,-3.0,Hôtel lababa
279,Coruripe,BR,80.67200000000004,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
280,Puerto Baquerizo Moreno,EC,79.79000000000002,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
289,Monrovia,LR,80.25800000000001,light rain,6.3005,-10.7969,Sunset Inn
291,Zuenoula,CI,76.98200000000003,overcast clouds,7.4292,-6.0431,Hotel Prestige Zla
295,Sorong,ID,79.23200000000003,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
298,Mahebourg,MU,78.26000000000008,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
299,Pochutla,MX,90.82400000000001,clear sky,15.7432,-96.4661,Hotel Posada San Jose
306,Victoria,HK,76.17200000000004,few clouds,22.2855,114.1577,Mini Hotel Central
308,Long Xuyen,VN,76.94600000000005,scattered clouds,10.3833,105.4167,Nhà nghĩ Vy Linh
310,Ariquemes,BR,75.90200000000007,moderate rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
319,Avarua,CK,82.45400000000006,overcast clouds,-21.2078,-159.775,Paradise Inn
328,Ilheus,BR,84.02000000000007,clear sky,-14.7889,-39.0494,Barravento Hotel
331,Vao,NC,76.892,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
332,Itapuranga,BR,77.84600000000006,overcast clouds,-15.5622,-49.9486,Terraço Hotel
333,Sarangani,PH,81.53600000000007,broken clouds,5.4033,125.4636,Ballistic Islet
340,Luganville,VU,84.81200000000007,few clouds,-15.5333,167.1667,The Espiritu Hotel
358,Georgetown,MY,78.72800000000007,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
359,Hobyo,SO,81.98600000000008,broken clouds,5.3505,48.5268,Iftin hotel hobyo
366,Lagunas,PE,82.5260000000001,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
368,Takoradi,GH,81.21200000000006,light rain,4.8845,-1.7554,Raybow International Hotel
