City ID,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
70,Iida,JP,35.5197,137.8207,287.06,100,100,0.89,light rain
71,Butaritari,KI,3.0707,172.7902,300.51,75,81,5.72,broken clouds
72,San Cristobal,VE,7.7669,-72.225,298.25,53,100,1.85,overcast clouds
73,Cooma,AU,-36.2333,149.1333,283.02,100,24,2.57,few clouds
74,Longyearbyen,SJ,78.2186,15.6401,267.06,73,75,2.06,broken clouds
75,Priargunsk,RU,50.3691,119.1012,273.67,57,38,5.71,scattered clouds
76,Bluff,NZ,-46.6,168.3333,286.37,75,11,5.06,few clouds
77,Tamworth,GB,52.634,-1.6959,285.64,82,100,0.45,overcast clouds
78,Touros,BR,-5.1989,-35.4608,299.9,76,100,4.3,overcast clouds
79,Nanortalik,GL,60.1432,-45.2371,273.67,92,36,1.64,scattered clouds
80,Esil,KZ,51.9556,66.4042,284.12,56,2,4.66,clear sky
81,Leh,IN,34.1667,77.5833,274.15,52,81,1.81,broken clouds
82,Thompson,CA,55.7435,-97.8558,264.24,48,75,10.29,broken clouds
83,Kjollefjord,NO,70.9457,27.3465,273.18,68,99,7.97,overcast clouds
84,Tadine,NC,-21.55,167.8833,299.81,83,100,5.85,overcast clouds
85,Pevek,RU,69.7008,170.3133,262.39,83,67,1.11,broken clouds
86,Lavrentiya,RU,65.5833,-171.0,273.49,99,100,4.27,light snow
87,Te Anau,NZ,-45.4167,167.7167,284.77,72,8,0.36,clear sky
88,Arraial Do Cabo,BR,-22.9661,-42.0278,298.13,88,0,5.66,clear sky
89,Rawson,AR,-43.3002,-65.1023,296.12,23,7,8.25,clear sky
90,Taltal,CL,-25.4,-70.4833,289.62,79,42,0.52,scattered clouds
91,Acapulco,MX,16.8634,-99.8901,302.05,70,75,5.66,smoke
92,Chokurdakh,RU,70.6333,147.9167,258.92,93,100,3.31,overcast clouds
93,Sokone,SN,13.8833,-16.3667,303.09,41,11,4.22,few clouds
94,Kaitangata,NZ,-46.2817,169.8464,286.04,70,12,2.09,few clouds
95,Paita,PE,-5.0892,-81.1144,295.97,72,38,8.76,scattered clouds
96,Punta Arenas,CL,-53.15,-70.9167,283.21,66,75,4.12,broken clouds
97,Provideniya,RU,64.3833,-173.3,274.21,86,100,6.0,light snow
98,Simoes,BR,-7.5989,-40.8178,300.49,55,78,2.51,broken clouds
99,Nanyamba,TZ,-10.6833,39.8333,295.29,98,100,1.37,overcast clouds
100,Carnarvon,AU,-24.8667,113.6333,292.19,72,0,2.57,clear sky
101,Dubbo,AU,-32.25,148.6167,288.22,88,2,3.6,clear sky
102,Qaanaaq,GL,77.484,-69.3632,253.85,90,98,1.78,overcast clouds
103,Trogir,HR,43.5125,16.2517,284.18,76,0,1.03,clear sky
104,Anloga,GH,5.7947,0.8973,300.96,78,96,5.55,overcast clouds
105,Peceneaga,RO,45.0167,28.1333,279.41,61,8,0.62,clear sky
106,Carutapera,BR,-1.195,-46.02,298.22,89,99,2.4,overcast clouds
107,Altay,CN,47.8667,88.1167,270.7,37,0,4.87,clear sky
108,Merrill,US,45.1805,-89.6835,274.12,84,100,7.2,overcast clouds
109,Mairwa,IN,26.2333,84.15,302.22,14,10,3.27,clear sky
110,Lebu,CL,-37.6167,-73.65,285.97,78,1,3.09,clear sky
111,Faya,SA,18.3851,42.4509,290.21,35,50,0.67,scattered clouds
112,Mayumba,GA,-3.432,10.6554,298.56,89,96,1.13,light rain
113,Palmer,US,42.1584,-72.3287,295.33,82,100,3.09,overcast clouds
114,Bubaque,GW,11.2833,-15.8333,296.68,76,52,8.67,broken clouds
115,Byron Bay,AU,-28.65,153.6167,291.88,80,52,5.26,broken clouds
116,Babu,CN,24.4167,111.5167,290.38,92,17,1.01,few clouds
117,Iqaluit,CA,63.7506,-68.5145,255.2,70,0,8.75,clear sky
118,Mehamn,NO,71.0357,27.8492,273.75,69,97,8.2,overcast clouds
119,Upernavik,GL,72.7868,-56.1549,249.85,97,41,3.99,scattered clouds
120,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,295.82,99,100,0.67,light rain
121,Batagay-Alyta,RU,67.8006,130.4114,258.9,94,99,1.87,overcast clouds
122,Alofi,NU,-19.0595,-169.9187,303.09,70,40,4.12,scattered clouds
